caption,likesCount,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28,hashtags/29,locationId,mentions/0,mentions/1,mentions/2,mentions/3,mentions/4,mentions/5,commentsCount,ownerFullName,url,inputUrl,ownerUsername
"The finished Menswear Father’s Day window

@marksandspencerstyle 
@marksandspencer 

#fyp #foryoupage #window #fashion #styling #merchandising #visualmerchandising #stylist #highstreet #highstreetfashion #highstreetstyle #marksandspencers #mands",2,fyp,foryoupage,window,fashion,styling,merchandising,visualmerchandising,stylist,highstreet,highstreetfashion,highstreetstyle,marksandspencers,mands,,,,,,,,,,,,,,,,,,1480723,marksandspencerstyle,marksandspencer,,,,,0,Chloe Hedges,https://www.instagram.com/p/DJ8zhYwtJjl/,https://www.instagram.com/explore/tags/MandS,bychloehedges
". 

      & !

#vehiclerepair #supportlocal  #bridgendbusiness #BridgendLocal #brynmenyn #shoplocal #Mands #Bridgend #localbusiness #accidentrepair #vehiclemaintenance #bridgendcounty #supportlocalbusiness #SupportSmallBusiness #mandsvehicleservices #vehiclerepair #BridgendLocal #brynmenyn #bridgendbusiness #Mands #Bridgend #supportlocal #shopbridgend #vehiclemaintenance",,vehiclerepair,supportlocal,bridgendbusiness,BridgendLocal,brynmenyn,shoplocal,Mands,Bridgend,localbusiness,accidentrepair,vehiclemaintenance,bridgendcounty,supportlocalbusiness,SupportSmallBusiness,mandsvehicleservices,shopbridgend,,,,,,,,,,,,,,,,,,,,,,0,M&S Vehicle Services Ltd,https://www.instagram.com/p/DJ8qu9UvRcw/,https://www.instagram.com/explore/tags/MandS,mandsvehicleservices
"Halloween Party Bangers at marksandspencerfood 

#halloweencookies #halloweenpartyideas #halloweenpartyfood #halloweenfood #halloweenfoodideas #marksandspencer #mands",,halloweencookies,halloweenpartyideas,halloweenpartyfood,halloweenfood,halloweenfoodideas,marksandspencer,mands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Big Schroeder,https://www.instagram.com/p/DJ8jjIIuOcT/,https://www.instagram.com/explore/tags/MandS,hinainstyle
"It’s never too early to start thinking about christmas!! Especially when it comes to MS and their food 

Everything was absolutely unreal ofc! Standout for me is the frozen trifle caked alaska  so easily kept in the freezer until the big day (or in my case probably going to be eaten long before )

PR INVITEad

#dayinthelife #christmasfood #marksandspencer #mands #marksandspencerfood",,dayinthelife,christmasfood,marksandspencer,mands,marksandspencerfood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,https://www.instagram.com/p/DJ7Qw_gvN-G/,https://www.instagram.com/explore/tags/MandS,inspirewithmirna
"Marks & Spencer CEO takes a £1.1M pay cut following a major cyberattack that disrupted operations. This incident underscores the rising stakes of cybersecurity in retail and the accountability demanded from corporate leadership.

Shrikanth Govindarajan takes a close look at how the M&S breach not only exposed customer data but also has far-reaching implications across the business. It’s time to reinforce the digital guardrails.

Read more: https://www.ciol.com/news/ms-ceo-faces-11m-pay-hit-after-cyberattack-shakes-retail-giant-9086381

#CIOL #MandS #CyberAttack #LeadershipAccountability #RetailSecurity #CEOPayCut",,CIOL,MandS,CyberAttack,LeadershipAccountability,RetailSecurity,CEOPayCut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CiOL,https://www.instagram.com/p/DJ6f2ooJ4cg/,https://www.instagram.com/explore/tags/MandS,ciol_news
M&S online shopping is on hold due to a cyberattack. Find out when you might be able to shop online again and what's happening with customer data. Link in bio for full story... @venture.news.official  #MandS #CyberAttack #OnlineShopping #RetailChaos #CustomerData,,MandS,CyberAttack,OnlineShopping,RetailChaos,CustomerData,,,,,,,,,,,,,,,,,,,,,,,,,,,venture.news.official,,,,,,0,Venture,https://www.instagram.com/p/DJ6T7LzBv-0/,https://www.instagram.com/explore/tags/MandS,venture.news.official
". 

      & !

#vehiclerepair #supportlocal  #bridgendbusiness #BridgendLocal #brynmenyn #shoplocal #Mands #Bridgend #localbusiness #accidentrepair #vehiclemaintenance #bridgendcounty #supportlocalbusiness #SupportSmallBusiness #mandsvehicleservices #vehiclerepair #BridgendLocal #brynmenyn #bridgendbusiness #Mands #Bridgend #supportlocal #shopbridgend #vehiclemaintenance",,vehiclerepair,supportlocal,bridgendbusiness,BridgendLocal,brynmenyn,shoplocal,Mands,Bridgend,localbusiness,accidentrepair,vehiclemaintenance,bridgendcounty,supportlocalbusiness,SupportSmallBusiness,mandsvehicleservices,shopbridgend,,,,,,,,,,,,,,,,,,,,,,0,M&S Vehicle Services Ltd,https://www.instagram.com/p/DJ6Mz1WqQVV/,https://www.instagram.com/explore/tags/MandS,mandsvehicleservices
"#Хайлайтер #MarksandSpencer #MandS 

Стан: Новий 

Колір: #Білий

Розмір: _____

Склад: _____

Опис:

Ціна: 350 грн

#Київ #Харків #Дніпро #Одеса #Запоріжжя #Львів #Миколаїв #Вінниця #Черкаси #Рівне #Тернопіль #ІваноФранківськ #Луцьк",1,Хайлайтер,MarksandSpencer,MandS,Білий,Київ,Харків,Дніпро,Одеса,Запоріжжя,Львів,Миколаїв,Вінниця,Черкаси,Рівне,Тернопіль,ІваноФранківськ,Луцьк,,,,,,,,,,,,,,5.41279E+14,,,,,,,0,XVIVMCMLXXXIV,https://www.instagram.com/p/DJ6LaULxF1U/,https://www.instagram.com/explore/tags/MandS,serhiikholod
"M&S faces a £300m profit hit and offline online services until July after a major cyber attack. Customer data stolen, CEO pay slashed, and a class action lawsuit looms. Here’s what you need to know. Link in bio for full story... @venture.news.official  #MandS #CyberAttack #DataBreach #RetailChaos #OnlineShopping",,MandS,CyberAttack,DataBreach,RetailChaos,OnlineShopping,,,,,,,,,,,,,,,,,,,,,,,,,,,venture.news.official,,,,,,0,Venture,https://www.instagram.com/p/DJ6BY2KASgx/,https://www.instagram.com/explore/tags/MandS,venture.news.official
"Today is Marks and Spencer results day – a key moment in the retail calendar.

But this year, the headline figures are accompanied by a much more unusual and challenging backdrop.

For the past four weeks, M&S – along with fellow British retailers including Co-op and Harrods – has been managing the fallout of a major cyber attack. This is a company that, under the leadership of Stuart Machin has worked tirelessly to rebuild trust, relevance, and momentum across the high street. Now, it faces a test of resilience from a very different front.

I’ve contributed to a new BBC documentary released today – Inside the High Street Cyber-Attacks – which explores what really happened, how these brands were targeted, and crucially, how businesses can better protect and prepare themselves.

My focus, as ever, is the consumer. What do they experience during a cyber crisis? How is trust maintained or lost? And how can retailers communicate clearly and compassionately in a world full of jargon and confusion?

This isn’t just an IT issue – it’s a boardroom conversation, and one that affects reputation, loyalty, and business continuity.

The documentary is now available on BBC iPlayer, and I hope it helps shed light on the scale of the challenge – and the steps retailers must take to navigate it with clarity and care.

The Customer Whisperer TV 

Insight with Passion Consultancy 

Hardcastle Collective 

Sara Cameron 
Speakers Corner 
BBC News 

#BBC #BBCDocumentary 
#Retail #CyberSecurity #ConsumerTrust #MarksandSpencer #MandS #CoOp #Harrods #Leadership #RetailEvolution #TheCustomerWhisperer",3,BBC,BBCDocumentary,Retail,CyberSecurity,ConsumerTrust,MarksandSpencer,MandS,CoOp,Harrods,Leadership,RetailEvolution,TheCustomerWhisperer,,,,,,,,,,,,,,,,,,,213037769,,,,,,,0,Kate Hardcastle MBE Broadcaster & Business Transformation,https://www.instagram.com/p/DJ5wwlRi_fj/,https://www.instagram.com/explore/tags/MandS,realkatehardcastle
"Window behind the scenes

Felt great to be back in the window and executing some new and fresh visual work after a month of minimal movement due to the cyber attack! 

Looking forward to things moving forward and all the new summer lines and campaigns coming together

@marksandspencerstyle 
@marksandspencer 

#fyp #foryoupage #styling #merchandising #visualmerchandising #stylist #behindthescenes #windowdressing #highstreet #highstreetfashion #fashion #summer #marksandspencer #mands",10,fyp,foryoupage,styling,merchandising,visualmerchandising,stylist,behindthescenes,windowdressing,highstreet,highstreetfashion,fashion,summer,marksandspencer,mands,,,,,,,,,,,,,,,,,1480723,marksandspencerstyle,marksandspencer,,,,,0,Chloe Hedges,https://www.instagram.com/p/DJ4lQ2utKUt/,https://www.instagram.com/explore/tags/MandS,bychloehedges
"Shirt - @charlestyrwhitt
Necktie - @pinkshirtmaker
Trousers - @johnlewis
Belt - @hackettlondon
Shoes - @clarksshoes
Socks - @marksandspencerstyle

#charlestyrwhitt #thomaspink #shirtandtie #johnlewis #hackett #hackettlondon #clarks #clarksshoes #marksandspencer #mands #menswear #mensstyle #mensclothing #preppystyle #ivystyle #tradstyle #streetstyle #classicstyle #whatiamwearing #ootd",16,charlestyrwhitt,thomaspink,shirtandtie,johnlewis,hackett,hackettlondon,clarks,clarksshoes,marksandspencer,mands,menswear,mensstyle,mensclothing,preppystyle,ivystyle,tradstyle,streetstyle,classicstyle,whatiamwearing,ootd,,,,,,,,,,,,charlestyrwhitt,pinkshirtmaker,johnlewis,hackettlondon,clarksshoes,marksandspencerstyle,0,Paul Gabriel,https://www.instagram.com/p/DJ4g1pftdd0/,https://www.instagram.com/explore/tags/MandS,pbhgbrl
"Top M&S Collection blanc cassé taille 6
Classique et facile à matcher
DM si tu veux le lien Vinted
#mands #vinted #vintedfinds #secondhand

Off-white top from M&S Collection size 6
Classic and easy to pair
DM me for the Vinted link
#mands #vinted #vintedfinds #secondhand",,mands,vinted,vintedfinds,secondhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Krswardrobe,https://www.instagram.com/p/DJ4WKkusZOT/,https://www.instagram.com/explore/tags/MandS,krswardrobe
"More spring campaign shots ft. handmade 6ft mirrored plinth   
•
•
Prop making for the lovely @jadealexander__ for @marksandspencer and @batterseapwrstn through @sammieshane_x and @jj.mediagroup back in March ⚒️
•
•
#props #propmaking #plinth #mirroredplinth #batterseapowerstation #mands #marksandspencer",25,props,propmaking,plinth,mirroredplinth,batterseapowerstation,mands,marksandspencer,,,,,,,,,,,,,,,,,,,,,,,,,jadealexander__,marksandspencer,batterseapwrstn,sammieshane_x,jj.mediagroup,,0,,https://www.instagram.com/p/DJ4G6TWNxkH/,https://www.instagram.com/explore/tags/MandS,jago_bintage
"Elevate your summer wardrobe with these size 12 women's items! From stylish Next jeans to a chic M&S blouse, find your perfect outfit for the season ☀️ #SummerFashion #Size12 #WomensClothing #Next #MandS  #eBaySeller #Summer #OutfitSet #Jeans #Jumpsuit

https://ebay.us/m/MAMAPb
https://ebay.us/m/L8EVoH
https://ebay.us/m/AhdcTP
https://ebay.us/m/zMk339",,SummerFashion,Size12,WomensClothing,Next,MandS,eBaySeller,Summer,OutfitSet,Jeans,Jumpsuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,penspreloved,https://www.instagram.com/p/DJ37IiZt14t/,https://www.instagram.com/explore/tags/MandS,penspreloved
