hashtags/0,hashtags/1,hashtags/2,viewCount,commentsTurnedOff,channelUsername,title,commentsCount,text,comments,type,likes,url,subtitles,channelUrl
#af,,,14,FALSE,foodandwineireland4559,"""This is not just food, this is M&S food.""",0,"Anyone remember the ""This is not just food, this is M&S Food"" advertising? Well, after a 12-years absence, Marksandspencer are bringing it back to the nations’ TV screens. The 2019 update sees the famous campaign undergo a makeover. The adverts feature a range of great value M&S favourites including 30-hour proved San Francisco-style sourdough bread as well as brand new lines like the Best Ever Trifle and Golden Hot Cross Buns. Check it out below!  #af",,video,0,https://www.youtube.com/watch?v=39sZzHhb3ho,,https://www.youtube.com/@foodandwineireland4559
,,,1570,FALSE,CyclingMikey,Taking Pictures of the Beautiful Architecture - PN11AVF,42,"What a nice and polite gentleman! Just a pity he thought it was OK to use his phone whilst driving and whilst moving. It looks like he had just bought the car, and still owns it. Funnily enough I catch lots of people on the phone in recently bought cars, and I wonder if the new purchase feeling is part of the problem?

You can report road crime online here in London: https://www.met.police.uk/ro/report/r...
In the rest of the UK you can use the NextBase Portal to find your local force submission portal:
https://nextbase.co.uk/national-dash-...


=====================================================================
These are affiliate links - I earn a small amount of referral money if you click on these links and buy anything. It doesn't cost you any more, and it helps to support my road safety work.

The GoPro Hero 12, the latest version - https://amzn.to/3FdeDdq
My current camera: GoPro Hero 11 Black - https://amzn.to/3gqURSn
The GoPro head strap v2 I mount the camera to: https://amzn.to/3rMi9s5
A good quality MicroSD card that is fast enough for this 4K camera: https://amzn.to/31qhf3G
A 2 pack of GoPro batteries and the external charger: https://amzn.to/45rNfDb
Spare GoPro Hero 12/11/10/9 batteries: https://amzn.to/3RP3NSp
 (clone batteries are cheaper, but perhaps less reliable)

An excellent selfie stick and tripod: https://amzn.to/3Lpb2fB

I also use:
The latest Insta360 Go 3 micro camera https://amzn.to/3RSO04U
An Insta360 Go 2 microcamera: https://amzn.to/3e9Jz13
An Insta360 One R 360 degree camera: https://amzn.to/3eaMshX
Rode Wireless Go II Dual channel wireless microphones: https://amzn.to/3BphpYM

If you'd like to support me by buying me a ko-fi, here's the link: https://ko-fi.com/cyclingmikey
=====================================================================
PN11AVF
PN11-AVF
PN11 AVF",,video,176,https://www.youtube.com/watch?v=Wx63cGJGoUM,,https://www.youtube.com/@CyclingMikey
#simonjordan,#martinbakole,#frankwarren,2370,FALSE,talkSPORTBoxing,"""Bakole's Not The Man"" Moses Itauma STUNS Simon Jordan with TRASH jibe & Billy Nelson angrily reacts",61,"Simon Jordan was joined by Moses Itauma and Billy Nelson who discussed the possibility of a fight between Bakole and Itauma.

Enjoyed this YouTube video? 


Subscribe for more boxing content    / @talksportboxing  


Check out talkSPORT's Socials
 Twitter:   / talksport  
Instagram: https://www.instagram.com/talksport/?...
Facebook:   / talksport  
 Tik Tok:   / talksport  

#simonjordan 
#martinbakole 
#frankwarren 
#talksportboxing
#talksport",,video,38,https://www.youtube.com/watch?v=ncLlp3QWd94,,https://www.youtube.com/@talkSPORTBoxing
#talk,#keirstarmer,#news,8266,FALSE,talktv,“Catastrophically Failed” | Reform UK’s Zia Yusuf On Britain’s Migration Crisis,219,"Net migration to the UK is estimated to have halved from 860,000 in the year ending December 2023 to 431,000 in the year ending December 2024, the Office for National Statistics said.

Chairman of Reform UK Zia Yusuf joins Talk’s Mike Graham to discuss this further.

Click here for more from Talk https://talk.tv

If you need any help visit: https://talk.tv/helplines

#talk #keirstarmer #news #immigration",,video,485,https://www.youtube.com/watch?v=VtwSTnEzfLw,,https://www.youtube.com/@talktv
#Golla,#BhartiSingh,#HaarshLimbachiyaa,24293,FALSE,LifeOfLimbachiyaas,Haarsh Ki Kanjusi Ki Saaza Bhugatni Padi  | Bharti Singh | Haarsh Limbachiyaa | Golla,94,"Dekhiye Hamara Fresh New Content Only On Bharti TV ⬇
▶️ Haarsh Limbachiyaa's New Channel : ‪@haarshlimbaachiyaX 
▶️ Content Channel : @bhartitv 
 Shorts Channel : @navaamimusic 
Music Label : @navaamimusic 
--------------------------------------------------------------
▪️ My vlogging camera - https://amzn.to/45kDDuD
▪️ Mic I use - https://amzn.to/3KLQkX4
▪️ Bharti's i phone - https://amzn.to/3YKCtpJ
--------------------------------------------------------------
Hi Doston ❤️
Kaise ho aap sab?

Haarsh Ki Kanjusi Ki Saaza Bhugatni Padi  - Janne Ke Liye Dekho Full Video Mein Aur Karo Enjoy.  
--------------------------------------------------------------
Hit the Like button & subscribe do share
So that hum apke liye aise aur video banaate jaye. ❤
Shukriyaa Hamare Sare Video Pe Itna Pyaar Dene Ke Liye.

Do Like, Share, Comment, and Subscribe to Our Channel!
And don't forget to hit the BELL ICON 

Lots of love❤️
-Aapke Apne Limbachiyaa's ❤
--------------------------------------------------------------
Yahan bhi follow karlo ab:
▪️ Bharti's Instagram -   / bharti.laughter.  .
▪️ Haarsh's Instagram -   / haarshlimbachiy.  .
▪️ Laksh Singh Limbachiya (Golla):   / laksh_singh.  .
▪️ Bharti's Facebook -   / bhartisingho.  .
--------------------------------------------------------------
#Golla #BhartiSingh #HaarshLimbachiyaa  #comedy #cricket #worldcup #biggboss #motivation  #vlog #youtuber #lol #dailyvlog #viral #trending #2024 #funny #baby #dailyvlog",,video,2300,https://www.youtube.com/watch?v=GyN6oslI4A0,,https://www.youtube.com/@LifeOfLimbachiyaas
,,,39346,FALSE,FrochOnFighting,"Carl Froch DESTROYS Jake Paul, Ariel Helwani and Darren Till",810,"The Cobra looks back at the Johnny Fisher v Dave Allen fight as well as reacting to comments made by Jake Paul, Ariel Helwani and Darren Till .",,video,1900,https://www.youtube.com/watch?v=cDS6CuRrHNo,,https://www.youtube.com/@FrochOnFighting
#12,,,205422547,FALSE,cokestudio,Jhol | Coke Studio Pakistan | Season 15 | Maanu x Annural Khalid,63408,"Teray hi jhol uttay nachday saaray
Teray pyaar ich kariye ki hun bol? 

Presenting Jhol featuring Maanu and Annural Khalid 

#Jhol #CokeStudio15 #CokeStudioPakistan #SoundOfTheNation 

Listen on Spotify: https://spoti.fi/3ViuRtk
Lyrics are available in the closed captions.


Exclusive Media Partner: Geo Network

COKE STUDIO 15 
Curated & Produced by Xulfi

Song Narrative: Maanu

Composed by: Maanu, Xulfi
Written by: Maanu & Annural Khalid
Additional Lyrics: Xulfi, Wajeeha Badar
Music Arranged & Produced by : Abdullah Siddiqui, Talal Qureshi, Abdullah Kasumbi, Xulfi

Mixed by: Xulfi

Mastered by: Colin Leonard at SING Mastering, Atlanta, GA using SING Technology® 

Associate Music Producer: Abdullah Siddiqui

Video Direction: Jamal Rahman
 Produced by GIRAFFE PAKISTAN

ARTIST 

Maanu - Vocals
Annural Khalid – Vocals
Asteria – Electric Guitar
Haider Abbas (Dawood) - Flute
Drums - Daud Ramay
Haider Ali – Synth
Payam Mashrequi - Synth
Sagar Veljee - Tabla
Aziz Kazi - Percussions
Faiz Qazi – Accoustic Guitar
Tariq – Synth Bass
Haider Ali Tafu – Persian Sitar


GIRAFFE TEAM:

Executive Producer: Muhammad Ibrahim 
Creative & Project Head: Wajeeha Badar 
Creative Manager: Sherry Khattak 
Production Head: Bilal Murtaza 
Producer: M. Zohaib Hassan  
Associate Producers: Mir Mehmood Ahmed Halepota & Syed Munhib Shah
Creative Production Strategist: Syeda Maryam Jalil 
Creative Production Manager: Shafia Falak 
Line Producer: Syed Qamber Ali Rizvi
Creative Associate: Agha Abdullah
Creative Associate: Umar Noor  
Content Manager: M. Yaruq Faisal 
Visual Consultant: Murtaza Niaz 
Visual Design Consultant: Hashim Ali 

SOUND SQUAD:

Audio Head - Sherry Khattak
Audio Electrical Engineer: Muhammad Saifullah
Recording Engineer: Adeel Tahir
Senior Audio Engineer: Ziyad Ahmed Tariq
Senior Audio Engineer: Payam Mashrequi
Audio Engineer: Bilal Haider
Audio Engineer: Malik Arslan
Audio Engineer: Muhammad Rameez
Audio Engineer: Ammar Aamir Chishti
Senior Monitoring Engineer: Haider Ali
Senior Monitoring Engineer: Roger John
Monitoring Engineer: Yashwa Ayub
Monitoring Engineer: Zulfiqar Ali
Audio System Engineer: Khalid Mahmood Gul
Assistant Audio System Engineer: Uzair Majeed
Assistant Electrical Engineer: Muhammad Sheharyar
Assistant Electrical Engineer:  Farooq Baig
Sound Squad Operations Manager: Muhammad Bin Ashraf

ARTIST MANAGEMENT: Rizwan Ahmad Khan, Shavaiz Ali Shah, Shahdad Karim

VIDEO CREATIVE TEAM:

Director:  Jamal Rehman
Cinematographer: Mo Azmi
Assistant Directors: Fariha Afzal & Farjad Akhtar

PRODUCTION DESIGN & ART DIRECTION:
Production Designer: Hashim Ali
Art Director: Sara Vohra
Assistant Art Director: Sumaiyya Saeed & Lujane Pagganwala
Set Design: Hashim Ali studios
Art TeamSet Team: Set Act (Aqeel Ur Rehman)

WARDROBE:
Costume Design & Styling: Mehak Saeed
Wardrobe Assistant: Jibrael
Maanu’s Outfit: Aomi
Annural’s Outfit : Namah by Sana Yasir

MAKEUP & HAIR:
Head of Makeup & Hair Design: Saima Rashid Bargfrede
Makeup & Hair Team: Rachel, Sharjeel, Yaseen, Akbar, Rozina, Vaneesa, Saima

Talent companies: Huma & Phoenix Media
Main feature Talent: Anika, Sarmad & Siki

Post Video Production:

Editing: Jamal Rahman
Post Producer: Emad Khalid
Conform Editor: Mudasser Hussain
Post VFX: Danish Hasan
Lead Compositing Artist: Danish Hasan
Rotoscope Artist: Danish Hasan
Additional tracking: Danish Hasan
Color Grading Studio: The Post Brothers
Color Grade:  Ercan Küçük @Postbrothers

Gaffer: Nadeem Multani
Focus Puller: Kamran Rabbani
B-Camera Operator: Muhammad Atiff
Camera Team: Hamza Ali and Alee Faraz
Ronin Operator: Islam-Uddin
Ronin Assistant: Furqan Yousuf and Faizan Zafar
DIT: Basit 
2nd Lights Company: Shadab Lighting (Bobby)

Camera Company: Studio 146 
Camera Team (A/C’s):Waqas,Fahad Yaseen,Fahad Mehmood,Ahtisham,Ali Faheem, Saqib,Zubair
Lights & Grips: Studio 146
Lights Rental: Studio 146

Light Staff: M.Shoaib, M.Shafiq, M.Nazir, M.Zakir
Lighting Operations Company: Studio 146 Light team
Light Operations: Faizan Ahmed, Imran, Faisal, Usama, M.Nasir
Light Technicians: Waqas Aijaz

2nd Lights Company: Adnan Rabbani

Production Managers: Obaid Siddiqui , Syed Nauman Yasir
Hospitality Managers: Areeba Alvi, Mansoor Khan, Syed Hasan Rizvi
Floor Tech: Atif Sheikh , Nathan , Shaharyar Hussain , Danyal Shahid, Ali Shahid, Junaid KD
BTS TEAMS:

BTS Produced by O Dimension
Producer (BTS): Moiz Qazi 
Associate Producer (BTS): Amna Maqbool 
Videographers: Moiz Qazi, Faiz Qazi, Saif Jatoi
Editor: Moiz Qazi
Post production & Audio Mixing: O Dimension

PHOTOGRAPHY

Photography: Nadir Firoz Khan 
Editorial Photography: Amna Zuberi
BTS Photography: Ali Nain & Hassan Naqvi

BTS FFF Coverage:
Shot by: Captured By Abdullah 
Second camera: Muhammad Junaid 
Edited by: Asaad Bukhari

Song Translation: Tanya Mirza (Markings)
Subtitle Manager: Ahmed Saeed

Live Vocal Microphone Systems: 
Sennheiser Digital 6000 Series
Sennheiser Evolution Wireless G4",,video,1800000,https://www.youtube.com/watch?v=-2RAq5o5pwc,,https://www.youtube.com/@cokestudio
,,,28211,TRUE,marksandspencer,M&S appoints Jack Whitehall as the FA’s Health and Nutrition Consultant,0,"As part of The FA's Greater Game programme, to inspire 12-16-year-olds to improve their health and wellbeing, we teamed up with Jack Whitehall and followed his journey in his new role as Health and Nutrition Consultant for the England men’s and women’s football teams. Find out how Jack got on.",,video,652,https://www.youtube.com/watch?v=AnyX845nkXg,,https://www.youtube.com/@marksandspencer
,,,3564,FALSE,EonUpdates,India Taking Big Losses Internationally and Locally! Imran khan Never Offered Deal & Won’t Take it?,43,"Witness the Journey from Addiction to Recovery

Explore the untold stories of individuals battling drug abuse and their paths to healing. This 20-minute preview offers a glimpse into their struggles and triumphs.

Unlock Full Access:
Complete Documentary
Exclusive Behind-the-Scenes Content
Live Q&A Sessions with Experts

 Membership Fee: 3000 Pkr

 For Local Subscribers 
Bank Name: Dubai Islamic Bank
Account Name: EON Solutions
New Account Number: 0892081001
IBAN NO: PK78DUIB0000000892081001

For Overseas Subscribers 
HBL – Habib Bank Limited
Account Title: M AMAN ULLAH TARIQ GULZAR
Account No: 0012-4879922914-03
IBAN: PK76 HABB 0012487992291403

For more details please visit our website.
https://eonpodcast.com/exclusive-member/

Please share screenshot of the payment on our WhatsApp:
+92 303 4444 638

Thanks for your support",,video,372,https://www.youtube.com/watch?v=Oy7dUyjqxAI,,https://www.youtube.com/@EonUpdates
#marksandspencer,#englishbreakfast,#cheapeats,2750,FALSE,MarkandKellys,Marks and Spencer Afternoon Tea // M and S // M&S // Afternoon Tea,32,"Welcome to our Channel, we'll be taking you with us on our travels, experiences, games, unboxings, reviews, tastings and general everyday things.
Please forgive my umms, errrrs and general mumblings while talking.

You'll find a few of holiday/vacation/short trip Vlogs with certain tips and hints that will hopefully be interesting, helpful or some new things that you may not have seen before. Maybe things that may help you make a decision on where to go/stay for your next holiday.

Mark also loves an all you can eat unlimited buffet, you'll see us trying out various restaurants, food markets, take aways, brunch, afternoon tea and other tast-a-licious places to visit.
You can also join us for our Lives at 6pm UK time on Tuesdays and Fridays

There will be videos of things we like to do and family members popping in now and again.

We hope you'll enjoy the videos as much as we enjoy making them and hope you like our Channel.
Please Subscribe to keep up to date with our new/latest videos and if you enjoy our vlogs please hit that like button.

Thanks for watching,
and remember:
You're never too old to have fun

Mark and Kelly 

#m&safternoontea #londonafternoontea  #teatime #sweettreats #savourygoodness #cakesandsandwiches #teandcake #coffee #tea #timefortea #foryou #foodie #fypシ #fypシ゚viral #foodlover #foodreview #food #londonviews #yum #yummy #delicious #traditionaltea #englishbreakfast #veggieoptions #subscribenow #cheapeats #marksandspencer #m&s #mandscafe #fypシ #foryou #fypシ゚viral #likeandshare #stayupdated #foryou #affordableafternoontea #affordable",,video,65,https://www.youtube.com/watch?v=quMORG8ZEUw,,https://www.youtube.com/@MarkandKellys
